# genre sanitation list via database dump 04/10/2019
# we should only need to include the exceptions, but
# for coverage a full list is developed here
# for safety values pass-thru if not defined here
#
#
EkectroniclBreakbeatlJungle|Electronic;Breakbeat;Jungle
Electronic;Rock;Indie Rock|Electronic;Rock;Indie Rock
Electronic\;Rock;Pop;Avantgarde;Art Rock;Experimental;Ambient|Electronic;Rock;Pop;Avantgarde;Art Rock;Experimental;Ambient
Electronic;Rock;Pop;Avantgarde;Art Rock;Experimental;Ambient|Electronic;Rock;Pop;Avantgarde;Art Rock;Experimental;Ambient
Electronic\;Rock;Pop;Psychedelic Rock;Power Pop;Indie Pop;Garage Rock|Electronic;Rock;Pop;Psychedelic Rock;Power Pop;Indie Pop;Garage Rock
Electronic;Rock;Pop;Psychedelic Rock;Power Pop;Indie Pop;Garage Rock|Electronic;Rock;Pop;Psychedelic Rock;Power Pop;Indie Pop;Garage Rock
Electronic\;Rock;Pop;Psychedelic Rock;Power Pop;Indie Pop;Garage Rock;|Electronic;Rock;Pop;Psychedelic Rock;Power Pop;Indie Pop;Garage Rock
Electronic;Rock;Pop;Psychedelic Rock;Power Pop;Indie Pop;Garage Rock;|Electronic;Rock;Pop;Psychedelic Rock;Power Pop;Indie Pop;Garage Rock
Electronic - Sound Collage - Music Concrete - Ambient - Dark Ambient - Dementia - Memories - Ambien|Electronic;Sound Collage;Music Concrete;Ambient;Dark Ambient;Dementia;Memories;Ambien
Electronic\;Synth-pop|Electronic;Synth-pop
Electronic;Synth-pop|Electronic;Synth-pop
Electronic\;Synth=pop|Electronic;Synth-pop
Electronic;Synth=pop|Electronic;Synth-pop
Electronic\;Synthie-Pop|Electronic;Synth-pop
Electronic;Synthie-Pop|Electronic;Synth-pop
Electronic - Techno - Industrial|Electronic;Techno;Industrial
Electronic\; Techno; Tech House; Deep House|Electronic;Techno;Tech House;Deep House
Electronic; Techno; Tech House; Deep House|Electronic;Techno;Tech House;Deep House
Electronic\; Trance; House|Electronic;Trance;House
Electronic; Trance; House|Electronic;Trance;House
Electronic\; Trance; House; Electronica|Electronic;Trance;House;Electronica
Electronic; Trance; House; Electronica|Electronic;Trance;House;Electronica
Electronic\;Trance;Trance|Electronic;Trance
Electronic;Trance;Trance|Electronic;Trance
# this can introduce noise so don't expand
lternative|Alternative
bstract|Electronic;Industrial;Abstract;Techno
indescribable|Alternative
Electronica|Electronica
Electronica*|Electronica
Electronica Albums|Electronic;Electronica
Electronica/Dance|Electronic;Electronica;Dance
Electronica & Dance|Electronic;Electronica;Dance
Electronica/Hip-Hop/Break|Electronica;Hip-Hop;Breaks
Electronica, Trip-Hop|Electronic;Electronica;Trip-Hop
ElectronicHip Hop|Electronic;Hip Hop
Electronick Dance|Electronic;Dance
Electroniv|Electronic
Electropop|Electropop
Elektro|Electro
Eletronic|Electronic
English Rock|English Rock
Epic|Epic
Essential Mix|Essential Mix
Etherea|Ethereal
Ethereal|Ethereal
Etherial|Ethereal
Ethnic|Ethnic
EU|Electronic
Euphoric|Euphoric
Euro-Disco|Euro-Disco
Euro-House|Euro-House
Euro House|Euro-House
Euro-Pop|Euro-Pop
Eurodance|Euro-Dance
Europop|Euro-Pop
Experiemental|Experimental
Experiemental Instrumental|Experiemental;Instrumental
Experiemntal|Experimental
Experimantal|Experimental
Experimental|Experimental
Experimental, Ambient, Future Jazz, Minimal|Experimental;Ambient;Future Jazz;Minimal
Experimental Art Punk|Experimental;Art Punk
Experimental Club|Experimental;Club
Experimental Electronic|Experimental;Electronic
Experimental House|Experimental;House
Experimental Indie|Experimental;Indie
Experimental Jazz|Experimental;Jazz
Experimental Rock|Experimental;Rock
Experimental Techno|Experimental;Techno
Extreme / Noise|Extreme / Noise
Fall|Rock
Feh-ku-lah!|Electronic
Field Recording|Field Recording
Film Music|Score;Stage & Screen
Film Score|Score;Stage & Screen
Flamenco|Flamenco
Fold|Folk
Folk|Folk
Folk Metal|Folk Metal
Folk Rock|Folk Rock
Folk/Rock|Folk Rock
Folk-Rock|Folk Rock
Folk, World, & Country|Folk, World, & Country
Folk, World & Country|Folk, World, & Country
Folkl, World, & Country|Folk, World, & Country
Footwork|Footwork
Free Funk|Free Funk
Free Improvisation|Free Improvisation
Free Jazz|Free Jazz
Free-Jazz|Free Jazz
Freestyle|Freestyle
French House|French House
Friends & Family|Friends & Family
Funch|Funk
Funk|Funk
Funk Metal|Funk Metal
Funk/Soul|Funk / Soul
Funk / Soul|Funk / Soul
Funk /Soul|Funk / Soul
Funk / Soul|Funk / Soul
\nStyle:|Electronic
Nu-Disco|Nu-Disco
Funk / Soul, Pop|Funk / Soul;Pop
Funka!|Funk
Funky|Funk
Funky/vocal/disco/club house|Funk;Vocal;Disco;Club;House
Fusion|Fusion
Future Jazz|Future Jazz
Future Jazz:Downtempo|Future Jazz;Downtempo
Fwd|FWD
Gabba|Gabba
Gabber|Gabba
Gangsta|Gangsta
Garage|Garage
Garage Hopuse|Garage House
Garage House|Garage House
Garage Pop|Garage Pop
Garage Rock|Garage Rock
Garage Rock/Alternative|Garage Rock;Alternative
General Alternative|Alternative
General Rock|Rock
Ghetto|Ghetto
Ghetto House|Ghetto House
Ghosthouse|Ghosthouse
Glam|Glam
Glam Rock|Glam Rock
Glitch|Glitch
Glitch Hop|Glitch Hop
Goa|Goa;Trance
Goth|Goth
Goth Rock|Goth Rock
Goth rock|Goth Rock
Goth Rock, New Wave|Goth Rock;New Wave
Gothic|Gothic
Gothic Rock|Gothic Rock
Grebo|Grebo
Grime|Grime
Grime and Weightless|Grime;Weightless
GRIME / FWD|Grime;FWD
Grime / FWD|Grime;FWD
Groove|Groove
Grunge|Grunge
Gypsy Jazz|Gypsy Jazz
Happy Hardcore|Happy Hardcore
Harcore|Harcore
Hard Bop|Hard Bop
Hard Bop, Post Bop, Avantgarde, Modal|Hard Bop;Post Bop;Avantgarde;Modal
Hard House|Hard House
Hard Rock|Hard Rock
Hard Trance|Hard Trance
Hardcore|Hardcore
Hardcore Hip-Hop|Hardcore Hip-Hop
Hardrock|Hard Rock
Hardstyle|Hardstyle
Heacy Metal|Heavy Metal
Heavy Metal|Heavy Metal
Hi NRG|Hi-NRG
Hip Hop|Hip Hop;Hip-Hop
Hip-Hop|Hip Hop;Hip-Hop
Hip Hop, Pop|Hip Hop;Hip-Hop;Pop
Hip-Hop/Rap|Hip Hop;Hip-Hop;Rap
Hip Hop/Rap|Hip Hop;Hip-Hop;Rap
Hip-Hop, Trip-Hop|Hip Hop;Hip-Hop;Trip-Hop;Trip Hop
Hip-HopRock|Trip-Hop;Trip Hop;Rock
Hip-House|Hip-House
Hip Jop|Hip-Hop;Hip Hop
Hippie Rock|Hippie Rock
Hippy Resurection|Hippy Resurection
Hippy-shit|Hippy-shit
Hipsterlounge|Hipster;Lounge
History|History
The History of the Cut Up|History;Cut Up;DJ
Holiday|Holiday
HOME LISTENING  MODERN CLASSICAL  AMBIENT|Home Listening;Modern Classical;Ambient
Hooligan Electro|Hooligan Electro
Hot Air|Hot Air
Houise|House
House|House
House/|House
House, Europop|House;Euro Pop
House/House|House
House Music|House
House, Techno, Ambient|House;Techno;Ambient
House / Techno / Electro|Electronic;House;Techno;Electro
House, Techno, Electro, Minimal|Electronic;House;Techno;Electro;Minimal
House, Techno, Minimal, Tech House|Electronic;House;Techno;Minimal;Tech House
Http://versionsgalore.blogspot.com/|Electronic
Humor|Humor;Humour
Humour|Humor;Humour
Hythm & Blues|Rythm & Blues;R&B;RnB
Icepops|Icepops
IDK|IDM
IDM|IDM
IFM|IDM
Illbient|Illbient
Impressionist|Impressionist
Improv|Improv
Ind|Indie
Independent|Indie
Indescribable|Alternative
Indie|Indie
Indie Dance|Indie Dance
Indie Pop|Indie Pop
Indie-pop|Indie Pop
Indie-Pop|Indie Pop
Indie/Post-Punk|Indie;Post-Punk
Indie Roc|Indie Rock;Indie
Indie Rock|Indie Rock;Indie
Indie-Rock|Indie Rock;Indie
Indie Rock-a-colla|Indie Rock;Indie
Indie / Rock / Alternative|Indie;Rock;Alternative
Indie  Rock  Alternative|Indie;Rock;Alternative
Indie Rock, Folk|Indie Rock;Folk
